Currency,2019-12-23,2019-12-24,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-22
IDR,15489.5,15495.4,15573.91,15565.65,15595.6,15540.92,15536.69,15604.44,15501.15,15441.51,15387.35,15263.99,15243.73,15219.55,15262.3,15223.35,15184.91,15118.3,15197.89,15137.71,15141.43,15002.91,14999.51,15008.07,14991.61,15094.84,15091.51,15207.45,15146.81,15036.47,15000.81,15063.25,15037.15,14919.11,14912.89,14892.14,14870.88,14792.48,14780.06,14783.04,14790.39,14867.58,15098.95,15094.7,15221.86,15387.97,15749.25,15909.41,15877.0,15702.94,15851.98,16558.49,16488.05,16282.0,16269.99,16434.0,16400.61,16756.2,16681.66,16892.54,17187.09,17050.9,17872.82,17701.2,17447.71,17686.0,17716.88,18088.04,17869.24,18239.61,18166.12,17918.68,17710.73,17562.95,17636.02,17243.21,17229.09,17201.21,17089.8,16925.99,16871.01,17001.63,16935.13,16772.0,16875.0,16695.8,16714.69,16611.03,16178.05,16522.42,16372.93,16259.13,16223.02,16229.26,16202.32,16073.64,16092.26,16134.8,16127.82,16077.45,16177.5,16127.44,16205.75,16249.14,16048.61,16193.61,16167.76,16210.04,16269.7,16240.48,16107.32,15885.35,15856.88,15882.4,15815.42,15917.2,16022.03,15904.22,16058.24,16039.58,15978.26,15948.04,15806.19,15927.67,15988.62
INR,78.9455,78.9525,79.637,79.812,80.187,79.9065,80.0085,80.5175,80.265,79.709,79.162,78.6915,78.8225,78.7285,78.8825,79.221,78.9567,78.784,79.1345,78.8665,79.0965,78.67,78.7425,78.4545,78.417,79.011,78.9055,79.0035,78.712,78.433,78.2845,78.3625,78.107,77.6945,77.8345,77.4495,77.466,77.342,77.39,77.2345,77.2745,77.754,77.8265,77.724,77.9195,78.538,79.285,80.917,81.429,81.5025,82.153,83.586,84.96,84.11,83.5215,83.468,81.8765,82.8075,81.567,81.1355,81.14,80.465,82.1255,82.358,82.699,82.5345,82.8695,83.5,82.8985,83.6004,83.326,82.216,82.106,82.252,82.873,82.9275,83.494,83.414,83.705,83.0565,83.1435,83.376,83.1685,81.94,82.366,82.6195,82.522,82.0215,81.6108,82.787,82.1435,81.9815,81.7685,81.9615,82.096,81.593,81.8825,81.592,81.9885,82.1435,82.8535,82.8635,83.0545,82.7265,82.7925,82.927,83.245,83.4635,84.1025,83.938,84.039,84.5055,84.932,85.63,85.241,85.3085,85.903,86.057,85.7875,85.5275,86.048,85.5505,85.673,85.352,85.2585
BRL,4.522,4.5246,4.5157,4.5128,4.5157,4.487,4.5271,4.5461,4.5625,4.5092,4.5194,4.5188,4.5832,4.6056,4.635,4.6519,4.639,4.636,4.6661,4.6486,4.6253,4.6084,4.6467,4.6196,4.6089,4.6836,4.7157,4.717,4.6704,4.6614,4.6553,4.7078,4.721,4.6995,4.7286,4.7182,4.6927,4.6739,4.7009,4.7184,4.7341,4.755,4.7474,4.7569,4.7741,4.8975,4.9232,4.9938,5.0032,5.0146,5.148,5.2748,5.4418,5.3243,5.2874,5.5081,5.2042,5.5381,5.528,5.6133,5.6037,5.3937,5.4652,5.5116,5.4937,5.4806,5.5905,5.6511,5.7001,5.7349,5.7023,5.6893,5.7056,5.6678,5.6741,5.5956,5.6585,5.7116,5.699,5.6798,5.7463,5.7619,5.7866,5.8666,6.0128,6.0328,6.1004,5.9318,5.8565,6.0781,5.9576,6.0896,6.2271,6.3074,6.2691,6.2708,6.3606,6.3925,6.3172,6.2701,6.2357,6.2656,6.2532,6.0857,6.0243,5.9114,5.8679,5.8495,5.9654,5.9276,5.9499,5.7993,5.6989,5.7329,5.5702,5.4944,5.5213,5.6471,5.7388,5.8049,5.7647,5.8521,5.9738,6.0029,5.9248
RUB,69.0297,68.7932,69.2013,69.2781,69.9563,69.1893,69.119,69.4047,69.2576,68.6389,68.0757,68.041,68.0893,68.2418,68.4386,68.8102,68.2495,68.2075,68.73,68.6934,68.6301,68.1692,69.0442,68.9032,68.9755,69.6719,70.3375,70.5988,69.8725,69.032,69.4575,70.0203,70.112,69.3198,68.753,69.0209,68.9116,68.7554,68.9685,68.6245,68.806,69.548,70.6675,70.7943,71.2368,72.1052,73.6096,74.56,74.005,73.218,74.307,77.5058,85.1553,81.5975,81.3785,84.0284,80.7385,83.5905,82.346,87.0959,86.9346,85.1038,86.08,85.1561,84.8015,85.31,86.3819,88.1385,85.9486,86.475,85.8405,82.8075,82.481,82.5675,82.1046,80.69,80.3923,81.2045,80.621,80.365,80.9728,83.2936,83.1961,80.6062,80.3991,80.4926,80.6862,79.821,79.892,82.3404,80.4713,80.7789,79.5801,79.8383,79.6981,79.4157,79.5893,80.0145,79.6208,78.908,79.3839,78.6001,77.9883,77.9139,78.2874,77.7494,78.1096,77.9343,78.4416,77.4378,76.8001,77.0055,77.8132,77.8155,77.0563,77.7388,78.1468,78.4949,78.7662,78.8516,78.439,78.1853,78.2063,77.6565,77.8799
HRK,7.446,7.4455,7.4475,7.4485,7.4395,7.4445,7.4463,7.445,7.4478,7.449,7.446,7.4445,7.4445,7.445,7.4443,7.4418,7.4378,7.4358,7.4375,7.4375,7.4438,7.4415,7.4415,7.441,7.442,7.4423,7.444,7.4465,7.4518,7.4568,7.4563,7.455,7.455,7.459,7.4575,7.4513,7.449,7.4465,7.444,7.4453,7.4495,7.449,7.465,7.4567,7.4605,7.4625,7.4695,7.4835,7.4853,7.4848,7.4905,7.5035,7.55,7.5425,7.5745,7.6,7.563,7.5785,7.5823,7.5935,7.608,7.6098,7.606,7.6118,7.6083,7.6115,7.614,7.6265,7.6255,7.6285,7.6305,7.63,7.6255,7.632,7.6235,7.6175,7.613,7.61,7.601,7.5715,7.5503,7.57,7.57,7.575,7.5523,7.5525,7.56,7.564,7.579,7.582,7.5735,7.569,7.5665,7.5573,7.565,7.5653,7.5705,7.573,7.5693,7.558,7.5713,7.577,7.5805,7.5845,7.5845,7.584,7.5893,7.59,7.587,7.5895,7.5848,7.572,7.5725,7.5715,7.565,7.5719,7.569,7.5675,7.566,7.557,7.5475,7.546,7.5463,7.5665,7.5926
JPY,121.18,121.19,122.23,122.19,121.94,121.75,120.54,121.02,121.15,120.86,121.54,121.6,122.25,122.32,122.43,122.8,122.31,122.14,122.31,121.93,121.5,120.96,120.11,120.02,120.06,120.03,120.35,120.1,120.52,120.94,120.87,120.51,120.18,119.73,120.03,119.21,119.11,119.05,118.7,119.35,120.86,120.96,120.52,119.92,120.13,120.46,119.36,119.82,119.77,119.58,119.63,119.08,117.12,118.65,118.55,116.84,119.11,117.76,117.5,117.78,118.63,118.37,119.11,119.99,120.67,120.18,119.36,119.34,118.9,117.55,117.06,117.1,117.54,118.55,118.36,118.33,117.66,117.12,117.12,116.86,117.11,116.39,117.01,115.75,116.22,116.22,116.06,115.52,115.87,116.84,115.71,114.65,114.91,115.34,116.16,116.56,116.28,115.48,115.53,116.31,118.0,117.95,118.42,117.26,117.47,117.92,118.58,118.68,119.29,119.75,120.83,121.54,122.48,123.77,123.41,122.14,122.16,121.52,121.26,120.83,121.39,120.65,120.0,119.77,119.89
THB,33.408,33.412,33.632,33.472,33.415,33.741,33.614,33.744,33.823,33.74,33.647,33.534,33.62,33.624,33.693,33.915,33.746,33.647,33.79,33.685,33.883,33.723,33.869,33.945,34.07,34.405,34.46,34.349,34.194,34.133,34.197,34.333,34.277,34.082,33.948,33.839,33.848,33.778,33.773,33.696,33.924,34.164,34.336,34.39,34.664,34.701,34.632,34.968,35.063,34.866,35.295,35.64,36.081,35.809,35.584,35.586,35.244,35.937,35.461,35.448,35.076,34.851,35.438,35.533,35.491,35.836,35.769,36.081,35.925,36.111,35.961,35.601,35.459,35.665,35.613,35.665,35.86,35.631,35.56,35.328,35.284,35.269,35.176,34.815,35.03,35.236,35.28,35.15,35.216,35.397,35.126,35.004,34.969,34.958,34.837,34.854,34.844,34.675,34.656,34.684,34.947,34.868,34.991,34.778,34.89,34.988,35.056,35.108,35.424,35.204,35.271,35.339,35.539,35.65,35.474,35.418,35.422,35.122,34.986,35.008,35.18,35.055,34.928,34.765,34.76
CHF,1.087,1.0878,1.089,1.0871,1.0854,1.0865,1.084,1.085,1.085,1.0792,1.0808,1.0822,1.0811,1.0767,1.0751,1.0739,1.0736,1.0737,1.0743,1.0757,1.0734,1.0712,1.0689,1.0703,1.0729,1.069,1.0694,1.0672,1.0702,1.0717,1.0715,1.0705,1.07,1.0667,1.0645,1.0633,1.0641,1.0641,1.0619,1.0621,1.0616,1.061,1.06,1.0605,1.0606,1.0627,1.0614,1.0655,1.0646,1.0647,1.0663,1.0589,1.0594,1.0594,1.0591,1.0549,1.0608,1.0546,1.0561,1.0546,1.0535,1.0546,1.059,1.0572,1.0602,1.0634,1.0581,1.0571,1.0585,1.0564,1.0551,1.0547,1.056,1.0582,1.0557,1.0558,1.0543,1.0534,1.0516,1.0515,1.0518,1.0517,1.0523,1.0511,1.0525,1.0557,1.0586,1.0571,1.0558,1.0548,1.0525,1.053,1.053,1.0529,1.0519,1.052,1.0528,1.0512,1.0513,1.0521,1.0633,1.0584,1.0628,1.0591,1.0597,1.06,1.0675,1.0683,1.072,1.0686,1.0741,1.0793,1.0786,1.0866,1.0861,1.077,1.0762,1.0697,1.0697,1.0679,1.0717,1.0669,1.0667,1.0656,1.0654
SGD,1.5018,1.5017,1.5083,1.5088,1.5111,1.5084,1.5047,1.511,1.5081,1.5014,1.5018,1.4969,1.4989,1.4981,1.5011,1.5025,1.496,1.4943,1.4994,1.4954,1.4971,1.491,1.4965,1.4949,1.4971,1.503,1.5092,1.5138,1.5139,1.5202,1.5233,1.5255,1.5209,1.5127,1.5122,1.5096,1.509,1.5047,1.5058,1.5033,1.5111,1.5131,1.5164,1.5166,1.5204,1.5294,1.5317,1.5449,1.5479,1.54,1.5495,1.563,1.5841,1.5817,1.5741,1.5779,1.5684,1.5868,1.5691,1.576,1.5643,1.5515,1.5745,1.5692,1.5651,1.5759,1.5762,1.5732,1.5633,1.5689,1.5617,1.5489,1.548,1.5501,1.5517,1.5479,1.5521,1.5533,1.5539,1.5447,1.5455,1.551,1.5508,1.5331,1.5396,1.5391,1.5407,1.5344,1.5324,1.5495,1.5359,1.5335,1.5303,1.5326,1.5335,1.5357,1.538,1.5374,1.5397,1.5426,1.5513,1.5503,1.5561,1.5521,1.5545,1.556,1.5588,1.5621,1.5712,1.5669,1.5668,1.5656,1.5758,1.5775,1.57,1.5708,1.5746,1.5758,1.5718,1.5692,1.5713,1.565,1.5642,1.5623,1.5639
PLN,4.2609,4.2598,4.2671,4.2567,4.2568,4.2544,4.2493,4.2415,4.2457,4.2429,4.2422,4.2462,4.2348,4.2219,4.2265,4.2324,4.2367,4.2433,4.2438,4.2378,4.2439,4.2565,4.2715,4.2731,4.2837,4.2873,4.3009,4.2968,4.2753,4.2491,4.2451,4.2653,4.2656,4.2569,4.2554,4.2513,4.249,4.262,4.2746,4.2712,4.2825,4.2835,4.2989,4.3012,4.3094,4.3124,4.3259,4.3276,4.3166,4.2968,4.3029,4.3042,4.3132,4.326,4.318,4.3599,4.357,4.407,4.4628,4.501,4.5604,4.5315,4.6056,4.6146,4.5817,4.5748,4.5306,4.5509,4.5506,4.5815,4.5697,4.5765,4.5643,4.5356,4.5442,4.5586,4.5473,4.5381,4.5288,4.5185,4.5272,4.5291,4.5349,4.5379,4.5284,4.5287,4.5468,4.5442,4.5336,4.5668,4.5316,4.5394,4.5467,4.5482,4.5591,4.5449,4.5636,4.5666,4.565,4.5596,4.551,4.5441,4.5298,4.5209,4.5031,4.4506,4.4372,4.4242,4.4495,4.4278,4.3993,4.4135,4.4372,4.4425,4.4333,4.4464,4.4524,4.4729,4.4484,4.4352,4.4272,4.4467,4.4647,4.4516,4.4493
