Currency,2019-12-23,2019-12-24,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-22
BGN,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558
TRY,6.5834,6.5994,6.6449,6.6567,6.6843,6.6699,6.6587,6.69,6.676,6.6158,6.5331,6.5198,6.5219,6.5448,6.558,6.5363,6.5323,6.5604,6.5938,6.5673,6.5771,6.5539,6.5566,6.5475,6.5559,6.597,6.6117,6.6221,6.6073,6.5975,6.5886,6.5688,6.5897,6.5775,6.5923,6.5843,6.5735,6.5542,6.5643,6.5606,6.5806,6.6131,6.6599,6.6688,6.6981,6.7538,6.8348,6.9253,6.8626,6.7828,6.8038,6.9209,7.0002,6.9884,7.0236,7.0361,6.985,7.1568,7.1286,7.0491,7.0625,6.9806,7.1016,7.011,6.9672,7.0407,7.0935,7.2475,7.2063,7.2925,7.2665,7.2296,7.3136,7.3562,7.3798,7.3233,7.4472,7.5093,7.5506,7.4981,7.522,7.5658,7.6008,7.4788,7.5365,7.5775,7.6115,7.5767,7.5979,7.6932,7.6866,7.7178,7.7792,7.7252,7.6596,7.5979,7.5861,7.5159,7.4689,7.4276,7.4448,7.4419,7.4781,7.4227,7.4352,7.4014,7.4542,7.5072,7.6101,7.5743,7.5698,7.5703,7.5868,7.6747,7.6574,7.6859,7.7145,7.7391,7.7224,7.6967,7.7442,7.7012,7.6968,7.6887,7.6829
CNY,7.7652,7.7643,7.8025,7.8175,7.8205,7.7946,7.7712,7.8049,7.7562,7.7184,7.7011,7.6773,7.6697,7.6536,7.6746,7.6837,7.6186,7.6112,7.6732,7.653,7.6897,7.6509,7.6477,7.6338,7.631,7.6504,7.6664,7.7681,7.7298,7.6858,7.6676,7.6711,7.6471,7.6025,7.6073,7.589,7.5757,7.5645,7.5732,7.5538,7.5787,7.5945,7.6102,7.6045,7.6329,7.6813,7.6662,7.7469,7.7572,7.7014,7.7579,7.8511,7.96,7.924,7.8801,7.8877,7.7587,7.8351,7.7095,7.6925,7.6849,7.5919,7.6385,7.6549,7.6844,7.7675,7.7894,7.8337,7.7784,7.7653,7.7387,7.6476,7.6519,7.6802,7.6818,7.6709,7.7366,7.6998,7.6991,7.6821,7.6819,7.6888,7.6964,7.6259,7.6455,7.686,7.6977,7.6723,7.6665,7.7275,7.6575,7.6707,7.6427,7.6719,7.6783,7.6933,7.7102,7.6655,7.6759,7.7068,7.7816,7.7806,7.8153,7.7797,7.7856,7.8269,7.8682,7.8804,7.9456,7.9327,7.9413,7.9599,8.0066,8.0349,7.9836,8.0025,8.0305,8.025,7.999,7.984,8.0041,7.9602,7.9545,7.9332,7.9348
NOK,9.913,9.9118,9.8578,9.846,9.8638,9.8408,9.8315,9.8488,9.8548,9.8508,9.8665,9.8745,9.8955,9.892,9.882,9.9058,9.889,9.8815,9.936,9.959,9.9678,9.9375,10.0363,10.0758,10.0563,10.1738,10.1893,10.259,10.1948,10.1173,10.1288,10.1673,10.1188,10.0953,10.0445,10.0415,10.0258,10.0373,10.0883,10.0178,10.0455,10.0873,10.1328,10.16,10.2113,10.2918,10.3888,10.4043,10.3328,10.3051,10.371,10.4983,10.89,10.8433,10.8558,11.3682,11.0966,11.4765,11.5063,11.701,12.3165,12.1215,12.2568,11.9745,11.7745,11.5273,11.6558,11.6888,11.51,11.2685,11.2345,11.2628,11.3875,11.0945,11.194,11.2143,11.3118,11.4503,11.4145,11.2845,11.2698,11.4843,11.6775,11.5165,11.4785,11.4513,11.2783,11.2728,11.184,11.328,11.173,11.09,11.0405,11.0695,11.046,11.0518,10.938,11.0598,11.0568,10.9663,10.9153,10.8765,10.903,10.9078,10.9358,10.8943,10.8283,10.8553,10.788,10.789,10.6798,10.6777,10.6048,10.5403,10.4603,10.5418,10.5383,10.72,10.8475,10.8894,10.7389,10.705,10.7083,10.7135,10.7985
NZD,1.6732,1.6716,1.6655,1.6638,1.6653,1.6718,1.6718,1.6788,1.6833,1.6739,1.6796,1.6769,1.6769,1.6803,1.6905,1.6769,1.6782,1.6796,1.6811,1.6782,1.6797,1.6684,1.6814,1.6844,1.6868,1.6973,1.7083,1.7106,1.7102,1.7006,1.6994,1.7094,1.7108,1.7055,1.6832,1.6835,1.6864,1.6864,1.6921,1.6883,1.7046,1.7104,1.7095,1.716,1.7273,1.7326,1.7608,1.7738,1.7728,1.7667,1.7744,1.7858,1.8021,1.8006,1.7951,1.8173,1.812,1.8499,1.842,1.8727,1.8903,1.8521,1.8939,1.8676,1.8479,1.853,1.8548,1.8405,1.8417,1.8547,1.838,1.8423,1.82,1.816,1.8194,1.8128,1.8008,1.8223,1.821,1.8043,1.7962,1.8181,1.82,1.7947,1.7991,1.7893,1.7956,1.7831,1.7705,1.8083,1.791,1.7839,1.782,1.7668,1.7808,1.7742,1.7983,1.8068,1.8145,1.8096,1.8004,1.7859,1.7949,1.787,1.789,1.7717,1.7719,1.7776,1.7863,1.7824,1.768,1.7532,1.751,1.7392,1.7291,1.7375,1.7357,1.753,1.7553,1.7471,1.7474,1.7395,1.742,1.7403,1.735
ZAR,15.7605,15.7264,15.6649,15.7398,15.7773,15.7496,15.9222,15.9465,15.9724,15.8166,15.7839,15.8081,15.9948,16.0274,16.0218,16.1229,16.0582,16.1045,16.0899,15.975,15.9503,15.8585,16.0431,16.1249,16.0719,16.2673,16.49,16.4806,16.3262,16.2246,16.3028,16.4204,16.4786,16.2331,16.1266,16.1313,16.1139,16.2095,16.2792,16.1425,16.2966,16.2965,16.3592,16.4649,16.4555,16.842,17.0961,17.4202,17.3245,16.9784,17.2746,17.8514,18.2898,18.1596,18.21,18.4447,17.9235,18.5602,18.2288,18.5624,18.68,18.5127,19.014,19.0754,18.8478,19.1484,19.3415,19.7286,19.6095,19.6619,20.177,20.2642,20.3534,19.9838,19.7624,19.6383,20.0255,20.4137,20.2373,20.3626,20.3486,20.5853,20.4413,20.5432,20.5019,20.4109,20.2913,19.9836,19.6572,20.3924,19.9018,20.0603,20.0698,19.997,19.96,19.7382,19.919,20.1637,20.0761,19.8913,19.9649,19.7503,19.6577,19.2476,19.2807,19.065,19.1477,19.1981,19.4239,19.3993,19.2755,19.0844,19.0059,19.0823,18.9799,18.8935,18.8376,19.1372,19.2794,19.322,19.2518,19.2289,19.5334,19.444,19.5077
USD,1.1075,1.108,1.1153,1.1189,1.1234,1.1193,1.1147,1.1194,1.1172,1.1115,1.111,1.1091,1.1126,1.1115,1.1142,1.1169,1.1108,1.1085,1.1115,1.1088,1.1091,1.1035,1.1025,1.1005,1.1001,1.1029,1.1052,1.1066,1.1048,1.1023,1.1003,1.0969,1.0951,1.0901,1.0914,1.0867,1.0842,1.0835,1.0816,1.08,1.079,1.0801,1.0818,1.084,1.0875,1.0964,1.0977,1.1122,1.1117,1.1125,1.1187,1.1336,1.1456,1.139,1.1336,1.124,1.1104,1.1157,1.0982,1.0934,1.0801,1.0707,1.0783,1.0843,1.0827,1.0981,1.0977,1.1034,1.0956,1.0936,1.0906,1.0785,1.0791,1.0885,1.0871,1.0867,1.0963,1.0903,1.0888,1.086,1.086,1.0837,1.0867,1.0772,1.08,1.0852,1.0877,1.0842,1.0876,1.0942,1.0843,1.0807,1.0783,1.0843,1.0824,1.0858,1.0875,1.0792,1.0798,1.0832,1.095,1.0958,1.1,1.0904,1.091,1.0975,1.0991,1.1016,1.1136,1.1116,1.1174,1.1194,1.125,1.133,1.1285,1.1294,1.1375,1.1348,1.1304,1.1253,1.1308,1.1232,1.1222,1.121,1.1213
MXN,21.0016,21.0106,21.0989,21.085,21.2202,21.1383,21.1433,21.1418,21.0852,20.9079,20.8637,20.8634,20.9084,20.9406,20.9542,20.9901,20.8338,20.694,20.8194,20.7417,20.7527,20.717,20.8715,20.7316,20.6109,20.6985,20.8044,20.8183,20.6722,20.4923,20.4852,20.5281,20.5466,20.3563,20.3274,20.2411,20.1606,20.1243,20.1596,20.069,20.1685,20.5183,20.7234,20.6185,20.806,21.2601,21.637,21.9963,21.6599,21.4105,22.0737,22.9958,24.3268,23.8739,23.9025,24.8028,23.7835,25.4478,25.0491,26.2014,26.2955,25.6864,26.613,26.9302,26.5704,26.0735,25.8329,26.246,26.1772,26.4097,26.4999,26.547,27.0896,26.4166,26.3367,26.0321,25.8485,26.0801,26.2939,26.0926,26.1086,26.3957,26.3895,26.3418,26.8331,27.0245,26.5269,26.1528,25.7953,26.8862,25.885,26.0485,26.0677,25.9023,25.9201,25.8251,26.2304,26.247,25.8966,25.6337,25.8567,25.6425,25.5043,25.045,24.7353,24.3102,24.5396,24.558,24.57,24.452,24.4448,24.2772,24.4761,24.6466,24.322,24.5766,24.8255,25.4183,25.445,25.4098,24.9681,24.9416,25.2628,25.3126,25.2313
ILS,3.8452,3.8464,3.8611,3.8749,3.8845,3.869,3.8766,3.8913,3.8731,3.8541,3.8556,3.8476,3.8604,3.8541,3.8561,3.8575,3.8372,3.8326,3.8405,3.8279,3.8336,3.81,3.8151,3.8033,3.8053,3.808,3.809,3.8135,3.813,3.7981,3.777,3.7585,3.7483,3.72,3.7325,3.7231,3.7177,3.7131,3.7028,3.6946,3.7009,3.6985,3.7208,3.7158,3.7429,3.7671,3.8052,3.8826,3.847,3.8451,3.8814,3.9576,4.0275,4.0147,4.0316,4.0909,4.0867,4.1795,4.2411,4.1654,3.9802,3.8683,3.9572,3.9379,3.9411,3.9585,3.9413,3.9544,3.9018,3.9015,3.9777,3.9267,3.9144,3.9178,3.9054,3.8919,3.928,3.9412,3.9082,3.8988,3.8783,3.8522,3.85,3.8207,3.7985,3.8109,3.808,3.8058,3.8069,3.8581,3.8193,3.7914,3.7881,3.8031,3.8072,3.807,3.819,3.8209,3.8178,3.8321,3.8601,3.8397,3.8659,3.8459,3.843,3.8543,3.8511,3.865,3.9065,3.8947,3.8864,3.8769,3.9068,3.9172,3.8911,3.8974,3.9045,3.9183,3.9189,3.9348,3.9244,3.8747,3.8811,3.862,3.8672
GBP,0.85708,0.85533,0.8513,0.85208,0.8508,0.84828,0.85115,0.85215,0.85183,0.84868,0.85285,0.8481,0.8576,0.85618,0.85683,0.8547,0.85105,0.85275,0.8503,0.84445,0.84498,0.84313,0.84358,0.84603,0.8458,0.84183,0.84175,0.84775,0.8488,0.84444,0.84835,0.8472,0.84628,0.84325,0.84058,0.83375,0.83208,0.83238,0.82985,0.83148,0.8384,0.8351,0.83833,0.8363,0.8415,0.84995,0.85315,0.87113,0.8701,0.8685,0.8667,0.87165,0.87383,0.87385,0.8769,0.88623,0.8907,0.90918,0.90823,0.9219,0.92985,0.91028,0.9297,0.921,0.91503,0.91348,0.89743,0.889,0.88643,0.8846,0.87738,0.8785,0.878,0.88093,0.87948,0.87565,0.87253,0.87385,0.87163,0.86978,0.87343,0.8812,0.8792,0.872,0.87498,0.87263,0.87078,0.87378,0.86905,0.87898,0.8706,0.87253,0.87478,0.87535,0.87875,0.87773,0.88245,0.88495,0.88738,0.89153,0.89535,0.89358,0.89943,0.89563,0.89515,0.88878,0.89595,0.89728,0.90088,0.89673,0.89083,0.89065,0.89685,0.89448,0.89173,0.8912,0.88963,0.89665,0.89653,0.89648,0.8937,0.89448,0.90028,0.90505,0.90328
KRW,1288.52,1287.71,1294.42,1294.35,1296.28,1298.24,1300.32,1308.83,1302.48,1297.37,1288.28,1286.0,1288.09,1285.74,1289.22,1293.87,1288.37,1286.08,1298.12,1290.57,1295.15,1289.12,1298.34,1297.2,1296.65,1315.0,1321.6,1319.12,1310.75,1302.97,1301.78,1309.78,1301.41,1290.63,1288.0,1286.02,1283.75,1282.7,1288.74,1284.75,1301.79,1309.45,1319.2,1315.68,1322.29,1327.83,1324.98,1325.85,1327.59,1314.96,1327.01,1351.63,1374.71,1357.12,1348.07,1359.4,1341.38,1373.34,1365.21,1377.8,1364.14,1335.64,1355.1,1346.65,1334.82,1336.46,1346.31,1351.52,1341.03,1346.48,1339.88,1332.82,1326.04,1319.39,1324.36,1322.49,1332.53,1330.54,1334.51,1321.53,1323.52,1335.34,1339.66,1326.8,1332.59,1328.82,1325.8,1321.59,1313.09,1340.0,1324.81,1323.48,1320.18,1322.41,1325.57,1326.17,1331.08,1329.17,1332.6,1332.42,1341.19,1345.71,1354.6,1353.51,1354.63,1352.23,1359.04,1363.76,1376.21,1364.44,1364.42,1364.09,1368.73,1365.57,1353.2,1353.3,1352.17,1359.18,1360.45,1366.08,1369.11,1362.21,1359.26,1353.53,1361.3
MYR,4.5878,4.5832,4.6034,4.5948,4.5953,4.5764,4.5725,4.594,4.5727,4.5588,4.5445,4.5212,4.5199,4.5288,4.5409,4.5377,4.5041,4.5022,4.5255,4.5078,4.514,4.4857,4.4822,4.4972,4.4884,4.5087,4.5297,4.5526,4.5424,4.5382,4.5349,4.5412,4.5425,4.5059,4.514,4.5006,4.4886,4.4911,4.4919,4.4955,4.5145,4.5294,4.5728,4.5886,4.5952,4.6164,4.6263,4.6751,4.6758,4.6491,4.6532,4.7294,4.8304,4.8265,4.8002,4.7944,4.7508,4.8092,4.7777,4.7793,4.7686,4.7052,4.793,4.804,4.7493,4.7603,4.7619,4.7806,4.733,4.7654,4.7524,4.7006,4.7097,4.7268,4.7274,4.7136,4.7508,4.7314,4.7655,4.7458,4.7507,4.7634,4.7437,4.6966,4.7093,4.725,4.7451,4.7136,4.6767,4.7226,4.6674,4.6713,4.6631,4.6994,4.6911,4.6977,4.704,4.6843,4.6982,4.732,4.7583,4.7684,4.7801,4.7569,4.7606,4.7889,4.7783,4.798,4.8414,4.8004,4.7797,4.7703,4.8077,4.8345,4.8159,4.8287,4.8361,4.8223,4.824,4.814,4.8342,4.8095,4.8008,4.7854,4.7997
EUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
